2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.95,3600,"3,589.05"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.97,3600,"3,589.03"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.98,3600,"3,589.02"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,10.99,3600,"3,589.01"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.00,3600,"3,589.00"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.02,3600,"3,588.98"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.03,3600,"3,588.97"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.04,3600,"3,588.96"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.05,3600,"3,588.95"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.06,3600,"3,588.94"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.08,3600,"3,588.92"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.09,3600,"3,588.91"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.10,3600,"3,588.90"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.12,3600,"3,588.88"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.13,3600,"3,588.87"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.14,3600,"3,588.86"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.15,3600,"3,588.85"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.17,3600,"3,588.83"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.18,3600,"3,588.82"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.19,3600,"3,588.81"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.21,3600,"3,588.79"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.22,3600,"3,588.78"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.23,3600,"3,588.77"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.24,3600,"3,588.76"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.26,3600,"3,588.74"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.27,3600,"3,588.73"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.28,3600,"3,588.72"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.29,3600,"3,588.71"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.31,3600,"3,588.69"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.32,3600,"3,588.68"
2021-12-11 1...,0.00,200.00,1,5.00,0.00,11.33,3600,"3,588.67"
